Date : 2025-08-06 20:29:01
Directory : /home/ysh/LSM/leveldb
Total : 533 files,  110987 codes, 29563 comments, 24774 blanks, all 165324 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |        375 |     85,308 |     25,746 |     18,922 |    129,976 |
| Markdown         |         49 |     11,571 |         12 |      3,295 |     14,878 |
| Python           |         56 |      9,386 |      3,674 |      1,939 |     14,999 |
| CMake            |         15 |      2,266 |          0 |        344 |      2,610 |
| YAML             |         17 |        705 |         26 |        109 |        840 |
| JSON             |          9 |        657 |          0 |         17 |        674 |
| HTML             |          2 |        472 |          0 |         42 |        514 |
| C                |          1 |        329 |         11 |         45 |        385 |
| SCSS             |          2 |        159 |          3 |         38 |        200 |
| Shell Script     |          4 |        130 |         91 |         20 |        241 |
| pip requirements |          3 |          4 |          0 |          3 |          7 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        533 |    110,987 |     29,563 |     24,774 |    165,324 |
| . (Files)                                                                                                       |          3 |        665 |          0 |        133 |        798 |
| .github                                                                                                         |          1 |         81 |          8 |         14 |        103 |
| .github/workflows                                                                                               |          1 |         81 |          8 |         14 |        103 |
| benchmarks                                                                                                      |          4 |      2,003 |        200 |        288 |      2,491 |
| db                                                                                                              |         44 |     10,689 |      1,563 |      1,906 |     14,158 |
| doc                                                                                                             |          5 |      1,100 |          0 |        242 |      1,342 |
| helpers                                                                                                         |          3 |        500 |         40 |        134 |        674 |
| helpers/memenv                                                                                                  |          3 |        500 |         40 |        134 |        674 |
| include                                                                                                         |         15 |        804 |        794 |        372 |      1,970 |
| include/leveldb                                                                                                 |         15 |        804 |        794 |        372 |      1,970 |
| issues                                                                                                          |          3 |        189 |         27 |         52 |        268 |
| port                                                                                                            |          5 |        306 |         87 |         92 |        485 |
| table                                                                                                           |         18 |      2,300 |        310 |        444 |      3,054 |
| tests                                                                                                           |          2 |        166 |         36 |         36 |        238 |
| third_party                                                                                                     |        388 |     87,702 |     25,820 |     20,089 |    133,611 |
| third_party/benchmark                                                                                           |        153 |     18,443 |      2,764 |      3,390 |     24,597 |
| third_party/benchmark (Files)                                                                                   |          9 |        945 |         40 |        186 |      1,171 |
| third_party/benchmark/.github                                                                                   |         12 |        357 |         26 |         81 |        464 |
| third_party/benchmark/.github (Files)                                                                           |          2 |         14 |         24 |          4 |         42 |
| third_party/benchmark/.github/ISSUE_TEMPLATE                                                                    |          2 |         40 |          0 |         14 |         54 |
| third_party/benchmark/.github/workflows                                                                         |          8 |        303 |          2 |         63 |        368 |
| third_party/benchmark/bindings                                                                                  |          4 |        311 |         97 |         80 |        488 |
| third_party/benchmark/bindings/python                                                                           |          4 |        311 |         97 |         80 |        488 |
| third_party/benchmark/bindings/python (Files)                                                                   |          1 |          1 |          0 |          2 |          3 |
| third_party/benchmark/bindings/python/google_benchmark                                                          |          3 |        310 |         97 |         78 |        485 |
| third_party/benchmark/cmake                                                                                     |         12 |        310 |          0 |         46 |        356 |
| third_party/benchmark/docs                                                                                      |         12 |      1,505 |         10 |        407 |      1,922 |
| third_party/benchmark/include                                                                                   |          2 |      1,077 |        634 |        291 |      2,002 |
| third_party/benchmark/include/benchmark                                                                         |          2 |      1,077 |        634 |        291 |      2,002 |
| third_party/benchmark/src                                                                                       |         41 |      5,403 |      1,132 |      1,125 |      7,660 |
| third_party/benchmark/test                                                                                      |         47 |      6,314 |        653 |        955 |      7,922 |
| third_party/benchmark/tools                                                                                     |         14 |      2,221 |        172 |        219 |      2,612 |
| third_party/benchmark/tools (Files)                                                                             |          3 |        476 |         41 |         69 |        586 |
| third_party/benchmark/tools/gbench                                                                              |         11 |      1,745 |        131 |        150 |      2,026 |
| third_party/benchmark/tools/gbench (Files)                                                                      |          3 |      1,150 |        131 |        134 |      1,415 |
| third_party/benchmark/tools/gbench/Inputs                                                                       |          8 |        595 |          0 |         16 |        611 |
| third_party/googletest                                                                                          |        235 |     69,259 |     23,056 |     16,699 |    109,014 |
| third_party/googletest (Files)                                                                                  |          5 |        326 |          9 |         95 |        430 |
| third_party/googletest/.github                                                                                  |          2 |         30 |          0 |         16 |         46 |
| third_party/googletest/.github/ISSUE_TEMPLATE                                                                   |          2 |         30 |          0 |         16 |         46 |
| third_party/googletest/ci                                                                                       |          2 |        116 |         67 |         16 |        199 |
| third_party/googletest/docs                                                                                     |         21 |      8,701 |          5 |      2,364 |     11,070 |
| third_party/googletest/docs (Files)                                                                             |         15 |      8,133 |          2 |      2,243 |     10,378 |
| third_party/googletest/docs/_data                                                                               |          1 |         37 |          0 |          1 |         38 |
| third_party/googletest/docs/_layouts                                                                            |          1 |         52 |          0 |          2 |         54 |
| third_party/googletest/docs/_sass                                                                               |          1 |        155 |          3 |         36 |        194 |
| third_party/googletest/docs/assets                                                                              |          1 |          4 |          0 |          2 |          6 |
| third_party/googletest/docs/assets/css                                                                          |          1 |          4 |          0 |          2 |          6 |
| third_party/googletest/docs/reference                                                                           |          2 |        320 |          0 |         80 |        400 |
| third_party/googletest/googlemock                                                                               |         59 |     24,248 |      7,229 |      5,448 |     36,925 |
| third_party/googletest/googlemock (Files)                                                                       |          2 |        217 |          0 |         47 |        264 |
| third_party/googletest/googlemock/docs                                                                          |          1 |          3 |          0 |          2 |          5 |
| third_party/googletest/googlemock/include                                                                       |         16 |      6,826 |      3,411 |      1,478 |     11,715 |
| third_party/googletest/googlemock/include/gmock                                                                 |         16 |      6,826 |      3,411 |      1,478 |     11,715 |
| third_party/googletest/googlemock/include/gmock (Files)                                                         |          9 |      6,392 |      3,030 |      1,364 |     10,786 |
| third_party/googletest/googlemock/include/gmock/internal                                                        |          7 |        434 |        381 |        114 |        929 |
| third_party/googletest/googlemock/include/gmock/internal (Files)                                                |          3 |        414 |        315 |         99 |        828 |
| third_party/googletest/googlemock/include/gmock/internal/custom                                                 |          4 |         20 |         66 |         15 |        101 |
| third_party/googletest/googlemock/scripts                                                                       |         10 |      2,198 |        606 |        464 |      3,268 |
| third_party/googletest/googlemock/scripts (Files)                                                               |          2 |         96 |        115 |         52 |        263 |
| third_party/googletest/googlemock/scripts/generator                                                             |          8 |      2,102 |        491 |        412 |      3,005 |
| third_party/googletest/googlemock/scripts/generator (Files)                                                     |          1 |          7 |         18 |          6 |         31 |
| third_party/googletest/googlemock/scripts/generator/cpp                                                         |          7 |      2,095 |        473 |        406 |      2,974 |
| third_party/googletest/googlemock/src                                                                           |          7 |      1,174 |        660 |        226 |      2,060 |
| third_party/googletest/googlemock/test                                                                          |         23 |     13,830 |      2,552 |      3,231 |     19,613 |
| third_party/googletest/googletest                                                                               |        146 |     35,838 |     15,746 |      8,760 |     60,344 |
| third_party/googletest/googletest (Files)                                                                       |          2 |        423 |          0 |        117 |        540 |
| third_party/googletest/googletest/cmake                                                                         |          1 |        322 |          0 |         23 |        345 |
| third_party/googletest/googletest/docs                                                                          |          1 |          3 |          0 |          2 |          5 |
| third_party/googletest/googletest/include                                                                       |         23 |      6,181 |      4,882 |      1,712 |     12,775 |
| third_party/googletest/googletest/include/gtest                                                                 |         23 |      6,181 |      4,882 |      1,712 |     12,775 |
| third_party/googletest/googletest/include/gtest (Files)                                                         |         11 |      2,987 |      2,848 |        873 |      6,708 |
| third_party/googletest/googletest/include/gtest/internal                                                        |         12 |      3,194 |      2,034 |        839 |      6,067 |
| third_party/googletest/googletest/include/gtest/internal (Files)                                                |          8 |      3,147 |      1,933 |        811 |      5,891 |
| third_party/googletest/googletest/include/gtest/internal/custom                                                 |          4 |         47 |        101 |         28 |        176 |
| third_party/googletest/googletest/samples                                                                       |         18 |        782 |      1,009 |        312 |      2,103 |
| third_party/googletest/googletest/scripts                                                                       |          8 |      1,513 |        916 |        323 |      2,752 |
